Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.18,Chen 2020,
Maximum concentration in positive electrode [mol.m-3],63104,Chen 2020,tuned for 1C
Positive electrode diffusivity [m2.s-1],4E-15,Chen 2020,tuned for 1C
Positive electrode OCP [V],[data]nmc_LGM50_ocp_Chen2020,Chen 2020,
,,,
# Microstructure,,,
Positive electrode porosity,0.335,Chen 2020,
Positive electrode active material volume fraction,0.665,Chen 2020,
Positive particle radius [m],5.22E-6,Chen 2020,
Positive electrode Bruggeman coefficient (electrolyte),1.5,Chen 2020,theoretical
Positive electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,Chen 2020,
Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]nmc_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Positive electrode density [kg.m-3],3262,default,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],700,default,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,default,
Positive electrode OCP entropic change [V.K-1],0,,
#
# below are for reserving the parameters and not used
# phase 1 
Maximum concentration in positive electrode of phase 1 [mol.m-3],28700,Chen 2020,tuned for 1C
Positive electrode diffusivity of phase 1 [m2.s-1],5.5e-14,Chen 2020,tuned for 1C
Positive electrode OCP of phase 1 [V],0,Chen 2020,
Positive electrode mass fraction of phase 1,0.9,Chen 2020,
Positive particle radius of phase 1 [m],5.22E-6,Chen 2020,
Positive electrode exchange-current density of phase 1 [A.m-2],0,,
Positive electrode density of phase 1 [kg.m-3],1657,default,
# Name of positive electrode phase 1,[string]nmc811,,
Initial concentration in positive electrode of phase 1 [mol.m-3],25870,,
,,,
# phase 2 
Maximum concentration in positive electrode of phase 2 [mol.m-3],278000,Chen 2020,tuned for 1C
Positive electrode diffusivity of phase 2 [m2.s-1],1.67e-14,Chen 2020,tuned for 1C
Positive electrode OCP of phase 2 [V],0,Mark2016,
Positive electrode mass fraction of phase 2,0.1,Chen 2020,
Positive particle radius of phase 2 [m],1.2E-6,Chen 2020,
Positive electrode exchange-current density of phase 2 [A.m-2],0,,
Positive electrode density of phase 2 [kg.m-3],1657,default,
# Name of positive electrode phase 2,[string]nmc622,,
Initial concentration in positive electrode of phase 2 [mol.m-3],250589,,
